scheme,sample,spec,xvar,dvar,mvar,yvar,b_base_xn,se_base_xn,p_base_xn,N_base,r2w_base,b_mech,se_mech,p_mech,N_mech,r2w_mech,b_y_key,se_y_key,p_y_key,b_y_m,se_y_m,p_y_m,b_y_xn,se_y_xn,p_y_xn,N_y,r2w_y,base_ok10,base_ok05,mech_ok10,mech_ok05,ykey_ok10,ykey_ok05,theory_ok10,theory_ok05,attenuated,strict_ok10,strict_ok05,sig_base_xn,sig_mech,sig_y_key,sig_y_m,sig_y_xn
scheme2_extended,low_fin,noctrl,fund_est_scale_cum,debt_burden_l1_w,soccap_leverage_w,ln_pat_utility_apply,-5.10249945700e-07,2.0384422e-07,.01382112,259,.78567564,-1.67742686645e-06,9.2822171e-07,.073550478,259,.044079598,7.27427050671e-07,4.1190845e-07,.080249339,-.007686441945432,.0077120322,.32116762,-4.75132005417e-07,2.0815169e-07,.024429742,259,.78912365,1,1,1,0,1,0,1,0,1,1,0,**,*,*,,**
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_burden_l1,soccap_leverage_w,ln_pat_utility_apply,-5.10249945700e-07,2.0384422e-07,.01382112,259,.78567564,-1.67742686645e-06,9.2822171e-07,.073550478,259,.044079598,7.27427050671e-07,4.1190845e-07,.080249339,-.007686441945432,.0077120322,.32116762,-4.75132005417e-07,2.0815169e-07,.024429742,259,.78912365,1,1,1,0,1,0,1,0,1,1,0,**,*,*,,**
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_burden_l1_w,soccap_leverage_w,ln_pat_utility_apply,-5.10249945700e-07,2.0384422e-07,.01382112,259,.78567564,-1.67742686645e-06,9.2822171e-07,.073550478,259,.044079598,7.27427050671e-07,4.1190845e-07,.080249339,-.007686441945432,.0077120322,.32116762,-4.75132005417e-07,2.0815169e-07,.024429742,259,.78912365,1,1,1,0,1,0,1,0,1,1,0,**,*,*,,**
scheme2_extended,low_fin,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037229343,.069668099,243,.49955425,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,.0654235201937081,.012958771,1.9041587e-06,-824.0598827903082,283.39069,.0044492278,-.0006027589227671,.00034336277,.082125425,243,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037229343,.069668099,243,.49955425,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,.0654235201937081,.012958771,1.9041587e-06,-824.0598827903082,283.39069,.0044492278,-.0006027589227671,.00034336277,.082125425,243,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037229343,.069668099,243,.49955425,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,.0654235201937081,.012958771,1.9041587e-06,-824.0598827903082,283.39069,.0044492278,-.0006027589227671,.00034336277,.082125425,243,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037229343,.069668099,243,.49955425,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,.0654235201937081,.012958771,1.9041587e-06,-824.0598827903082,283.39069,.0044492278,-.0006027589227671,.00034336277,.082125425,243,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin_active_cum,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037239506,.069799326,241,.49955425,-7.88574430974e-08,4.3887084e-08,.075322941,241,.042148989,.0654235201937081,.0129628,1.9644945e-06,-824.0598827903082,283.47879,.0044778395,-.0006027589227671,.0003434695,.082276955,241,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin_active_cum,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,F1_pat_utility_apply,-.0006824015553308,.00037239506,.069799326,241,.49955425,-7.88574430974e-08,4.3887084e-08,.075322941,241,.042148989,.0654235201937081,.0129628,1.9644945e-06,-824.0598827903082,283.47879,.0044778395,-.0006027589227671,.0003434695,.082276955,241,.5685519,1,0,1,0,1,1,1,0,1,1,0,*,*,***,***,*
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1,D1_soccap_leverage_zero_w,F1_pat_utility_apply,-.0004465430851565,.00024632982,.071693636,705,.37572423,-8.95405061335e-08,4.4716231e-08,.046887979,705,.018310243,.0178508256157922,.010004308,.076221518,-137.5414666927319,175.68242,.43481588,-.0003240847888453,.000190429,.09067522,705,.42315108,1,0,1,1,1,0,1,0,1,1,0,*,**,*,,*
