scheme,sample,spec,xvar,dvar,mvar,yvar,b_base_xn,se_base_xn,p_base_xn,N_base,r2w_base,b_mech,se_mech,p_mech,N_mech,r2w_mech,b_y_key,se_y_key,p_y_key,b_y_m,se_y_m,p_y_m,b_y_xn,se_y_xn,p_y_xn,N_y,r2w_y,base_ok10,base_ok05,mech_ok10,mech_ok05,ykey_ok10,ykey_ok05,theory_ok10,theory_ok05,attenuated,strict_ok10,strict_ok05,sig_base_xn,sig_mech,sig_y_key,sig_y_m,sig_y_xn
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_govp5_w,pat_utility_apply,-.0096466392873849,.0052136569,.06928473,118,.66835171,8.37153515786e-08,1.2418761e-06,.94648296,118,.27299142,.0910163374094252,.040285807,.027575292,-2484.406551698538,819.7019,.003617736,-.0100238171766403,.0041473489,.01876297,118,.73931003,1,0,0,0,1,1,0,0,0,0,0,*,,**,***,**
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,F1_ln_pat_utility_apply,-1.19351237625e-06,2.1117357e-07,4.4571888e-07,125,.95605934,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,8.54052748381e-07,7.5159107e-07,.26026458,-.0127013344011426,.024395535,.60450113,-1.21392051452e-06,2.0540632e-07,1.6558488e-07,125,.95641178,1,1,0,0,0,0,0,0,0,0,0,***,,,,***
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,F1_pat_apply_total,-.0228455120777447,.010676065,.036372732,125,.50837451,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,.0420663166358064,.051924676,.42100832,-1378.19251221644,1086.6799,.20952426,-.0238604657220253,.011314142,.039066087,125,.52370799,1,1,0,0,0,0,0,0,0,0,0,**,,,,**
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,F1_pat_utility_apply,-.0091954394470105,.0038586841,.020299759,125,.77078545,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,.0483087736998276,.019185198,.014442112,-1462.885858514156,383.29376,.0003185861,-.0103594550844076,.0034429338,.0038075296,125,.80217618,1,1,0,0,1,1,0,0,0,0,0,**,,**,***,***
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,ln_pat_utility_apply,-8.73668162400e-07,2.6794430e-07,.0018211525,125,.87905943,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,1.05693733436e-06,1.7660858e-06,.55174679,-.0561072537736956,.042222537,.18884821,-8.99447712822e-07,2.4980312e-07,.00063824339,125,.88429421,1,1,0,0,0,0,0,0,0,0,0,***,,,,***
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,pat_apply_total,-.0247168197434777,.013154875,.065036938,125,.31602252,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,-.0295375688718228,.075537808,.69713736,5.794270392094246,1587.5255,.99709976,-.0240166176550808,.014702284,.10750908,125,.33010149,1,0,0,0,0,0,0,0,1,0,0,*,,,,
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_w,pat_utility_apply,-.0090516364442821,.0051383586,.083150968,125,.65730375,-1.29579669776e-08,1.3441860e-06,.99233997,125,.19164966,.0464222090625072,.025946653,.078557022,-1521.507538400409,577.14294,.010615913,-.0101716945848808,.0047859643,.037618201,125,.70295161,1,0,0,0,1,0,0,0,0,0,0,*,,*,**,**
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_zero_w,F1_ln_pat_utility_apply,-5.89147234194e-07,2.7950131e-07,.036949128,521,.81350034,-2.09395799058e-07,5.1113705e-07,.68271959,521,.035676166,3.12881026872e-07,1.1431088e-06,.78473812,.0069448010979275,.032466136,.83095056,-5.92485268987e-07,2.7858573e-07,.035314851,521,.8136006,1,1,0,0,0,0,0,0,0,0,0,**,,,,**
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_zero_w,F1_pat_apply_total,-.0063592615704763,.0036557131,.0842885,521,.2740162,-2.09395799058e-07,5.1113705e-07,.68271959,521,.035676166,.0228936511369354,.054388333,.67449635,-455.8192975669256,841.80212,.58909625,-.0068053591695391,.0040922412,.098705038,521,.277156,1,0,0,0,0,0,0,0,0,0,0,*,,,,*
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_zero_w,F1_pat_utility_apply,.0004733501940278,.0027222259,.86222541,521,.44389951,-2.09395799058e-07,5.1113705e-07,.68271959,521,.035676166,.0407860046713967,.024068685,.092533544,-582.4351633743084,474.98816,.22231932,-.0002733087382716,.0025802311,.91580456,521,.45941818,0,0,0,0,1,0,0,0,1,0,0,,,*,,
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_zero_w,ln_pat_utility_apply,-1.80628223812e-07,2.1526124e-07,.40293527,521,.78364176,-2.09395799058e-07,5.1113705e-07,.68271959,521,.035676166,2.75097664652e-07,1.3646445e-06,.84055054,-.0534061059639349,.02700909,.050102834,-1.96024775576e-07,2.0616761e-07,.34345531,521,.78525543,0,0,0,0,0,0,0,0,0,0,0,,,,*,
scheme2_extended,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_zero_w,pat_apply_total,-.0031509660929205,.0043287994,.46796918,521,.25520349,-2.09395799058e-07,5.1113705e-07,.68271959,521,.035676166,-.0123074135907393,.070384741,.86146027,-231.7915137600158,993.65436,.81591451,-.0030109955762216,.0048992406,.53989536,521,.25858551,0,0,0,0,0,0,0,0,1,0,0,,,,,
