city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
红河哈尼族彝族自治州,2016,,2,,2,,1.0
红河哈尼族彝族自治州,2017,,1,0.0,0,,0.0
红河哈尼族彝族自治州,2018,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2019,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2020,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2021,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2022,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2023,0.0,0,0.0,0,,
红河哈尼族彝族自治州,2024,0.0,0,0.0,0,,
绍兴市,2015,5.0,1,5.0,1,1.0,1.0
绍兴市,2016,8.0,1,8.0,1,1.0,1.0
绍兴市,2017,95.0,3,35.0,1,0.368421,0.333333
绍兴市,2018,318.95,17,209.6,11,,0.647059
绍兴市,2019,105.0,12,85.0,9,,0.75
绍兴市,2020,205.32,19,59.95,7,,0.368421
绍兴市,2021,791.1,79,42.32,21,,0.265823
绍兴市,2022,97.67,39,,15,,0.384615
绍兴市,2023,282.55,19,152.31,10,,0.526316
绍兴市,2024,1590.69,12,1417.69,5,,0.416667
绵阳市,2015,0.0,0,0.0,0,,
绵阳市,2016,0.0,0,0.0,0,,
绵阳市,2017,0.0,0,0.0,0,,
绵阳市,2018,0.0,0,0.0,0,,
绵阳市,2019,5.0,5,5.0,4,,0.8
绵阳市,2020,25.0,5,10.0,2,,0.4
绵阳市,2021,,3,,1,,0.333333
绵阳市,2022,4.8,2,4.8,2,,1.0
绵阳市,2023,60.71,5,0.0,0,,0.0
绵阳市,2024,0.0,0,0.0,0,,
自贡市,2015,0.0,0,0.0,0,,
自贡市,2016,21.0,1,0.0,0,0.0,0.0
自贡市,2017,0.0,0,0.0,0,,
自贡市,2018,0.0,0,0.0,0,,
自贡市,2019,,1,0.0,0,,0.0
自贡市,2020,0.0,0,0.0,0,,
自贡市,2021,0.0,0,0.0,0,,
自贡市,2022,,1,0.0,0,,0.0
自贡市,2023,0.0,0,0.0,0,,
自贡市,2024,0.0,0,0.0,0,,
芜湖市,2015,30.0,2,0.0,0,0.0,0.0
芜湖市,2016,0.0,0,0.0,0,,
芜湖市,2017,68.7,1,0.0,0,0.0,0.0
芜湖市,2018,0.0,0,0.0,0,,
芜湖市,2019,80.33,4,0.0,0,,0.0
芜湖市,2020,67.0,4,0.0,0,,0.0
芜湖市,2021,49.74,13,,2,,0.153846
芜湖市,2022,324.0,19,144.0,2,,0.105263
芜湖市,2023,84.22,6,0.0,0,,0.0
芜湖市,2024,280.0,5,0.0,0,,0.0
苏州市,2015,1065.9,113,534.9,79,,0.699115
苏州市,2016,1168.9,70,646.59,50,,0.714286
苏州市,2017,2346.65,122,785.74,65,,0.532787
苏州市,2018,4229.1,191,2124.07,90,,0.471204
苏州市,2019,3279.41,153,1029.03,57,,0.372549
苏州市,2020,6211.02,310,1594.25,98,,0.316129
苏州市,2021,3791.87,579,794.95,185,,0.319516
苏州市,2022,1181.5,378,537.96,161,,0.425926
苏州市,2023,5914.68,297,1511.01,147,,0.494949
苏州市,2024,6438.09,257,1325.3,110,,0.428016
荆州市,2015,50.0,1,0.0,0,0.0,0.0
荆州市,2016,39.5,2,0.0,0,0.0,0.0
荆州市,2017,64.98,3,0.0,0,,0.0
荆州市,2018,0.0,0,0.0,0,,
荆州市,2019,,1,,1,,1.0
荆州市,2020,,1,0.0,0,,0.0
荆州市,2021,,1,0.0,0,,0.0
荆州市,2022,0.0,0,0.0,0,,
荆州市,2023,0.0,0,0.0,0,,
荆州市,2024,0.0,0,0.0,0,,
莆田市,2015,0.0,0,0.0,0,,
莆田市,2016,0.0,0,0.0,0,,
莆田市,2017,0.0,0,0.0,0,,
莆田市,2018,0.0,0,0.0,0,,
莆田市,2019,0.0,0,0.0,0,,
莆田市,2020,0.0,0,0.0,0,,
莆田市,2021,,6,,1,,0.166667
莆田市,2022,0.0,0,0.0,0,,
莆田市,2023,0.0,0,0.0,0,,
莆田市,2024,0.0,0,0.0,0,,
菏泽市,2015,0.0,0,0.0,0,,
菏泽市,2016,0.0,0,0.0,0,,
菏泽市,2017,0.0,0,0.0,0,,
菏泽市,2018,0.0,0,0.0,0,,
菏泽市,2019,,1,,1,,1.0
菏泽市,2020,0.0,0,0.0,0,,
菏泽市,2021,,1,,1,,1.0
菏泽市,2022,,1,0.0,0,,0.0
菏泽市,2023,0.0,0,0.0,0,,
菏泽市,2024,0.0,0,0.0,0,,
蚌埠市,2015,0.0,0,0.0,0,,
蚌埠市,2016,0.0,0,0.0,0,,
蚌埠市,2017,,2,,1,,0.5
蚌埠市,2018,2.29,1,2.29,1,1.0,1.0
蚌埠市,2019,15.0,3,,1,,0.333333
蚌埠市,2020,1075.75,15,199.99,2,,0.133333
蚌埠市,2021,142.39,16,,6,,0.375
蚌埠市,2022,315.1,14,,2,,0.142857
蚌埠市,2023,439.91,5,0.0,0,0.0,0.0
蚌埠市,2024,549.0,7,75.0,1,0.136612,0.142857
衡阳市,2015,0.0,0,0.0,0,,
衡阳市,2016,0.0,0,0.0,0,,
衡阳市,2017,0.0,0,0.0,0,,
衡阳市,2018,0.0,0,0.0,0,,
衡阳市,2019,0.0,0,0.0,0,,
衡阳市,2020,30.0,1,0.0,0,0.0,0.0
衡阳市,2021,0.0,0,0.0,0,,
衡阳市,2022,0.0,0,0.0,0,,
衡阳市,2023,80.0,1,0.0,0,0.0,0.0
衡阳市,2024,0.0,0,0.0,0,,
衢州市,2015,0.0,0,0.0,0,,
衢州市,2016,79.98,6,,3,,0.5
衢州市,2017,0.0,0,0.0,0,,
衢州市,2018,,2,,2,,1.0
衢州市,2019,,1,0.0,0,,0.0
衢州市,2020,565.85,2,500.0,1,0.883626,0.5
衢州市,2021,,1,,1,,1.0
衢州市,2022,0.0,0,0.0,0,,
衢州市,2023,0.0,0,0.0,0,,
衢州市,2024,116.67,3,0.0,0,0.0,0.0
襄阳市,2015,0.0,0,0.0,0,,
襄阳市,2016,0.0,0,0.0,0,,
襄阳市,2017,14.4,1,0.0,0,0.0,0.0
襄阳市,2018,25.0,3,0.0,0,0.0,0.0
襄阳市,2019,,1,0.0,0,,0.0
襄阳市,2020,,2,,2,,1.0
襄阳市,2021,32.0,3,0.0,0,,0.0
襄阳市,2022,,2,0.0,0,,0.0
襄阳市,2023,0.0,0,0.0,0,,
襄阳市,2024,0.0,0,0.0,0,,
西宁市,2015,0.0,0,0.0,0,,
西宁市,2016,0.0,0,0.0,0,,
西宁市,2017,34.4,2,0.0,0,,0.0
西宁市,2018,35.0,1,0.0,0,0.0,0.0
西宁市,2019,57.25,5,25.0,3,,0.6
西宁市,2020,,1,0.0,0,,0.0
西宁市,2021,,1,0.0,0,,0.0
西宁市,2022,0.0,0,0.0,0,,
西宁市,2023,0.0,0,0.0,0,,
西宁市,2024,0.0,0,0.0,0,,
西安市,2015,58.99,16,10.5,6,,0.375
西安市,2016,205.24,24,52.0,11,,0.458333
西安市,2017,231.0,24,2.0,6,,0.25
西安市,2018,189.35,17,50.0,2,,0.117647
西安市,2019,1950.88,38,1770.7,10,,0.263158
西安市,2020,1532.0,42,493.82,6,,0.142857
西安市,2021,819.44,74,101.0,6,,0.081081
西安市,2022,549.09,52,,20,,0.384615
西安市,2023,1368.02,53,384.29,22,,0.415094
西安市,2024,1270.39,60,107.01,18,,0.3
贵阳市,2015,,4,,1,,0.25
贵阳市,2016,,6,,5,,0.833333
贵阳市,2017,219.5,9,10.5,4,,0.444444
贵阳市,2018,250.0,6,,3,,0.5
贵阳市,2019,188.26,42,8.4,16,,0.380952
贵阳市,2020,697.51,40,22.5,21,,0.525
贵阳市,2021,389.33,128,,49,,0.382812
贵阳市,2022,2404.81,150,1142.21,86,,0.573333
贵阳市,2023,1315.13,47,490.0,21,,0.446809
贵阳市,2024,806.0,18,144.0,2,,0.111111
贺州市,2015,0.0,0,0.0,0,,
贺州市,2016,0.0,0,0.0,0,,
贺州市,2017,,1,,1,,1.0
贺州市,2018,0.0,0,0.0,0,,
贺州市,2019,0.0,0,0.0,0,,
贺州市,2020,0.0,0,0.0,0,,
贺州市,2021,0.0,0,0.0,0,,
贺州市,2022,0.0,0,0.0,0,,
贺州市,2023,0.0,0,0.0,0,,
贺州市,2024,0.0,0,0.0,0,,
赣州市,2015,0.0,0,0.0,0,,
赣州市,2016,0.0,0,0.0,0,,
赣州市,2017,,1,,1,,1.0
赣州市,2018,0.0,0,0.0,0,,
赣州市,2019,100.0,1,0.0,0,0.0,0.0
赣州市,2020,,1,0.0,0,,0.0
赣州市,2021,10.0,2,10.0,2,,1.0
赣州市,2022,,1,,1,,1.0
赣州市,2023,0.0,0,0.0,0,,
